"ID","Name","coord","link","lon","lat","js"
58,"Neue Prager Huette, DAV Bundesverband","Längengrad:12°23'32''|Breitengrad:47°07'23''","https://www.alpsonline.org/reservation/calendar?hut_id=58",12.3922729,47.1230665,"['Neue Prager Huette, DAV Bundesverband',12.3922729,47.1230665],"
60,"Chalet de Roseyres, CAS Diablerets","581.300/134.310","https://www.alpsonline.org/reservation/calendar?hut_id=60",7.2154776,46.3386795,"['Chalet de Roseyres, CAS Diablerets',7.2154776,46.3386795],"
61,"Duemlerhuette OeAV, Sektion TK Linz","5280260/445766","https://www.alpsonline.org/reservation/calendar?hut_id=61",14.2775488,47.6733116,"['Duemlerhuette OeAV, Sektion TK Linz',14.2775488,47.6733116],"
62,"Glungezerhuette, Alpenverein Hall in Tirol","UTMY(Nord)5.231.585/UTMX(Ost)691.353","https://www.alpsonline.org/reservation/calendar?hut_id=62",11.5268218,47.2097716,"['Glungezerhuette, Alpenverein Hall in Tirol',11.5268218,47.2097716],"
63,"Ascher Huette, Sektion Pfaffenhofen-Asch","lat=""47.065833""lon=""10.504717""","https://www.alpsonline.org/reservation/calendar?hut_id=63",11.5076584,48.5378697,"['Ascher Huette, Sektion Pfaffenhofen-Asch',11.5076584,48.5378697],"
64,"La Borbuintze, CAS Diablerets","563.370/151.050","https://www.alpsonline.org/reservation/calendar?hut_id=64",6.9616253,46.5097215,"['La Borbuintze, CAS Diablerets',6.9616253,46.5097215],"
65,"Wildstrubelhuette SAC, SAC Wildhorn-Kaiseregg","602.270/136.800","https://www.alpsonline.org/reservation/calendar?hut_id=65",7.46814,46.3825999,"['Wildstrubelhuette SAC, SAC Wildhorn-Kaiseregg',7.46814,46.3825999],"
66,"Gelmerhuette SAC, SAC Brugg","669.235/164.840","https://www.alpsonline.org/reservation/calendar?hut_id=66",8.3427752,46.6312317,"['Gelmerhuette SAC, SAC Brugg',8.3427752,46.6312317],"
67,"Cabane Barraud, CAS Diablerets","Coordonnées:
578.760/125.910","https://www.alpsonline.org/reservation/calendar?hut_id=67",7.1630947,46.2842855,"['Cabane Barraud, CAS Diablerets',7.1630947,46.2842855],"
68,"Chalet Lacombe, CAS Diablerets","Coordonnées:
569'582/137'530","https://www.alpsonline.org/reservation/calendar?hut_id=68",7.158056,46.351389,"['Chalet Lacombe, CAS Diablerets',7.158056,46.351389],"
69,"Rotstockhuette, Skiclub Stechelberg","630650/154949","https://www.alpsonline.org/reservation/calendar?hut_id=69",7.8383092,46.5451557,"['Rotstockhuette, Skiclub Stechelberg',7.8383092,46.5451557],"
72,"Bettelwurf Huette, Alpenverein Innsbruck","47°20,323'/11°30,436'","https://www.alpsonline.org/reservation/calendar?hut_id=72",11.507628,47.33856,"['Bettelwurf Huette, Alpenverein Innsbruck',11.507628,47.33856],"
