start,end,note,sheet
"2025-01-26 04:30:00","2025-01-26 17:00:00","41._Unterlandstafette_[304757] EVENT","RR"
"2025-01-27 10:46:44","2025-01-27 10:47:43","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-27 11:21:23","2025-01-27 11:39:07","LED","RR"
"2025-01-27 11:49:11","2025-01-27 13:27:06","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-27 15:03:33","2025-01-27 16:22:44","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-27 16:44:46","2025-01-27 17:10:15","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-27 17:12:53","2025-01-27 17:29:56","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-27 17:50:11","2025-01-27 19:04:30","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-27 19:04:33","2025-01-27 19:49:38","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-27 19:49:41","2025-01-27 20:03:45","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-27 21:21:16","2025-01-27 22:50:12","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-28 10:11:15","2025-01-28 10:25:00","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-28 12:03:48","2025-01-28 13:17:17","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-28 14:48:21","2025-01-28 15:17:42","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-28 15:17:45","2025-01-28 16:54:54","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-29 16:56:41","2025-01-29 17:33:43","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-29 17:33:52","2025-01-29 18:45:48","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-30 10:23:05","2025-01-30 10:27:20","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-30 14:00:00","2025-01-30 18:00:00","Maintenance","RR"
"2025-02-01 11:33:42","2025-02-01 12:46:29","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-01 14:11:07","2025-02-01 14:41:58","Code","RR"
"2025-02-01 15:54:09","2025-02-01 16:31:34","Code","RR"
"2025-02-01 16:31:41","2025-02-01 16:32:47","44._GP_Osterhas_2025_[316629]","RR"
"2025-02-02 14:03:53","2025-02-02 14:44:21","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-02-02 15:55:11","2025-02-02 16:14:31","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
