urlroute;url;name;grad;lat;lon
https://www.thecrag.com/de/klettern/austria/lechtaler-alpen/route/5347206174;https://www.thecrag.com/de/klettern/austria/lechtaler-alpen/area/2823267234;Schreck Heel;;47.19852;10.42761 
https://www.thecrag.com/de/klettern/germany/allgaeu/route/4040161152;https://www.thecrag.com/de/klettern/germany/allgaeu/area/4024399785;Rädlergrat;6;47.38188;10.37503 
https://www.thecrag.com/de/klettern/germany/oberbayern/route/6329173851;https://www.thecrag.com/de/klettern/germany/oberbayern/area/6329158335;Gonda;6+;47.40591;11.11242 
https://www.thecrag.com/de/klettern/italy/dolomites/sellaturm/route/14080375;https://www.thecrag.com/de/klettern/italy/dolomites/sellaturm/area/4930908402;Schober;{UIAA} 6+;46.50926;11.77456 
https://www.thecrag.com/de/klettern/austria/route/9015103722;https://www.thecrag.com/de/klettern/austria/area/9015099867;Huber/Zechel;;47.15361;11.27973 
https://www.thecrag.com/de/klettern/austria/route/1535299299;https://www.thecrag.com/de/klettern/austria/area/1529162988;Rebitsch-Spiegl-Führe;;47.57011;12.31970 
https://www.thecrag.com/de/klettern/austria/route/5631953616;https://www.thecrag.com/de/klettern/austria/area/100036458;Schmid/Krebs;6;47.39054;11.50347 
https://www.thecrag.com/de/klettern/austria/route/3843530217;https://www.thecrag.com/de/klettern/austria/area/100037046;Lafatscher NO-Verschneidung;6;47.35047;11.47174 
https://www.thecrag.com/de/klettern/austria/route/9014471655;https://www.thecrag.com/de/klettern/austria/area/1863316761;Ypsilon-Riss;6+;47.45749;11.77783 
https://www.thecrag.com/de/klettern/austria/route/7925785734;https://www.thecrag.com/de/klettern/austria/area/5107758228;Nordkante;5-;47.04565;11.64473 
https://www.thecrag.com/de/klettern/austria/route/9014494650;https://www.thecrag.com/de/klettern/austria/area/4038152208;Aschenbrenner-Mariner;6;47.02460;11.62791 
https://www.thecrag.com/de/klettern/austria/route/6205527945;https://www.thecrag.com/de/klettern/austria/area/6205493850;Nordkante;6;47.10655;11.95375 
https://www.thecrag.com/de/klettern/austria/route/1857768906;https://www.thecrag.com/de/klettern/austria/area/1529288916;Direkte Westwand;6+;47.57037;12.30953 
https://www.thecrag.com/de/klettern/austria/route/1529260698;https://www.thecrag.com/de/klettern/austria/area/1529162988;Dülferführe;6;47.57011;12.31970 
https://www.thecrag.com/de/klettern/austria/route/1530124647;https://www.thecrag.com/de/klettern/austria/area/1529162217;Südostverschneidung;;47.57197;12.31768 
https://www.thecrag.com/de/klettern/austria/route/5293989246;https://www.thecrag.com/de/klettern/austria/area/12499225;Alte Ostwand "Göttner";6+;47.56485;12.31590 
https://www.thecrag.com/de/klettern/austria/route/1761440178;https://www.thecrag.com/de/klettern/austria/area/12499081;Schüle-Diem/Haslacher-Behringer;6+;47.57077;12.32257 
https://www.thecrag.com/de/klettern/austria/route/5293951191;https://www.thecrag.com/de/klettern/austria/area/12499345;Lucke-Strobl-Riss;;47.56109;12.32692 
https://www.thecrag.com/de/klettern/austria/route/2894903382;https://www.thecrag.com/de/klettern/austria/area/12499441;Buhl;6+ A0;47.55849;12.35709 
https://www.thecrag.com/de/klettern/germany/reiteralpe-oberjettenberg/route/9014620395;https://www.thecrag.com/de/klettern/germany/reiteralpe-oberjettenberg/area/3973560660;Südverschneidung;;47.59155;12.80591 
https://www.thecrag.com/de/klettern/germany/reiteralpe-oberjettenberg/route/3978089703;https://www.thecrag.com/de/klettern/germany/reiteralpe-oberjettenberg/area/3973554516;Direkte Südkante;6+ A0;47.59029;12.79741 
https://www.thecrag.com/de/klettern/germany/gollmassiv/route/7862259321;https://www.thecrag.com/de/klettern/germany/gollmassiv/area/323262042;Kleiner Trichter;;47.60056;13.05460 
https://www.thecrag.com/de/klettern/austria/route/5849006259;https://www.thecrag.com/de/klettern/austria/area/5848528785;Gloria Patri;6+;47.41884;13.06039 
https://www.thecrag.com/de/klettern/italy/cima-dambiez/route/9014677254;https://www.thecrag.com/de/klettern/italy/cima-dambiez;Via della Concordia;{UIAA} 6+;46.14936;10.86780 
https://www.thecrag.com/de/klettern/italy/crozzon-di-brenta/route/2763472671;https://www.thecrag.com/de/klettern/italy/crozzon-di-brenta;Pilastro Francese;{UIAA} 6+ A1;46.16335;10.86864 
https://www.thecrag.com/de/klettern/italy/campanile-basso/route/1923312195;https://www.thecrag.com/de/klettern/italy/campanile-basso;Via Normale;{UIAA} 4+;46.16196;10.89354 
https://www.thecrag.com/de/klettern/italy/brenta-alta/route/9014825949;https://www.thecrag.com/de/klettern/italy/brenta-alta/area/9014775543;Via Oggioni-Aiazzi;;46.16002;10.89549 
https://www.thecrag.com/de/klettern/italy/dolomites/rosengarten-catinaccio-group/route/14079769;https://www.thecrag.com/de/klettern/italy/dolomites/rosengarten-catinaccio-group/area/5635045197;East Face, "Steger";{UIAA} 6-;46.45258;11.62256 
https://www.thecrag.com/de/klettern/italy/alto-adige/route/9014837331;https://www.thecrag.com/de/klettern/italy/alto-adige/area/5028676821;Brandler-Hasse;;46.42586;11.61784 
https://www.thecrag.com/de/klettern/italy/dolomites/piz-ciavazes/route/14080219;https://www.thecrag.com/de/klettern/italy/dolomites/piz-ciavazes;Via Micheluzzi;{UIAA} 6;46.50918;11.78414 
